Mountain,Last Update,24-Hour Snow,Base Depth,Open Trails,Open Lifts
Arapahoe Basin Ski Area,2 hours ago,"0""-","66""Powder",144/14584% Open,8/9-
Aspen Snowmass,4 hours ago,"0""-","42-65""Packed Powder",363/36699% Open,34/41-
Beaver Creek,4 hours ago,"0""-","57""Machine Groomed",168/17397% Open,18/24-
Breckenridge,4 hours ago,"0""-","65""Variable Conditions",188/188100% Open,33/35-
Cooper,4 hours ago,"0""-","47-51""Machine Groomed",64/64100% Open,5/5-
Copper Mountain,5 hours ago,"0""-","66-70""Packed Powder",149/15099% Open,24/24-
Crested Butte Mountain Resort,4 hours ago,"0""-","61""Machine Groomed",120/16573% Open,15/15-
Echo Mountain,2 hours ago,"0""-","30""Variable Conditions",5/771% Open,3/3-
Eldora Mountain Resort,4 hours ago,"0""-","30""Machine Groomed",61/61100% Open,10/10-
Howelsen Hill,2 hours ago,"0""-","34""Machine Groomed",17/17100% Open,3/4-
Keystone,4 hours ago,"0""-","62""Variable Conditions",140/140100% Open,21/21-
Loveland Ski Area,5 hours ago,"0""-","62""Powder",93/9499% Open,10/10-
Monarch Mountain,2 hours ago,"0""-","52""Packed Powder",64/6799% Open,5/7-
Powderhorn,4 hours ago,"0""-","46""Packed Powder",53/5498% Open,5/5-
Purgatory,4 hours ago,"0""-","44-48""Powder",107/107100% Open,10/11-
Silverton Mountain,4 hours ago,"1""-","37-57""Powder",69/69100% Open,1/1-
Ski Granby Ranch,4 hours ago,"0""-","25""Machine Groomed",42/42100% Open,5/5-
Steamboat,5 hours ago,"0""-","62-100""Packed Powder",184/184100% Open,23/23-
Sunlight Mountain Resort,5 hours ago,"0""-","32-41""Packed Powder",75/75100% Open,3/3-
Telluride,5 hours ago,"0""-","50""Powder",134/14778% Open,17/17-
Vail,4 hours ago,"0""-","73""Machine Groomed",274/274100% Open,29/33-
Winter Park,2 hours ago,"0""-","76-82""Packed Powder",164/17192% Open,19/25-
Wolf Creek Ski Area,3 hours ago,"0""-","53-57""Machine Groomed",144/144100% Open,10/11-
